GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
binary_tree,york.eecs.bt,BinaryTree,16,232,2,28,5,59,2,26,0,13
binary_tree,york.eecs.bt,Node,0,30,0,0,0,14,0,8,0,8
